seed,gso_type,sparsify,rmse,mean_diversity,mean_novelty,elapsed_sec
10,cov,standard,1.0055139,0.8614267257034042,0.8527280199523469,1.5850610733032227
10,cov,hard_thr,1.005516,0.8613922053199237,0.8529074972838288,1.181062936782837
10,cov,soft_thr,1.0056211,0.8617326621900716,0.8513353618083908,1.3282227516174316
10,prec,standard,1.0055152,0.859520974863759,0.8434979395176386,1.6415798664093018
10,prec,hard_thr,1.014865,0.8703320591468237,0.8703823775666336,1.135068416595459
10,prec,soft_thr,1.0603204,0.8655207754611366,0.8687534311570698,1.1172327995300293
16,cov,standard,1.0228378,0.8674303276509001,0.8960125679279577,1.2301783561706543
16,cov,hard_thr,1.0228767,0.8670888703011491,0.8959332425620586,1.1010551452636719
16,cov,soft_thr,1.0223511,0.8725939553715488,0.8950090018744469,1.1019268035888672
16,prec,standard,1.005333,0.8688138667477113,0.8579182869926206,1.3771345615386963
16,prec,hard_thr,1.0073868,0.8736428927650294,0.8568292337781893,1.639589548110962
16,prec,soft_thr,1.0437884,0.8756240137964617,0.8907620468550912,1.1803240776062012
42,cov,standard,1.0197353,0.8606751276253182,0.879739285407369,1.104443073272705
42,cov,hard_thr,1.0196626,0.8599970924577198,0.8816469624530734,1.101989507675171
42,cov,soft_thr,1.0193468,0.8648937806325,0.884583957740597,1.1096689701080322
42,prec,standard,1.0070982,0.8497051467306415,0.8431254457094887,1.2395281791687012
42,prec,hard_thr,1.0834131,0.8512936812510371,0.8514126633591126,1.143218755722046
42,prec,soft_thr,1.1040174,0.8627667423479511,0.9074675151648435,1.1987290382385254
2025,cov,standard,1.0071203,0.8602523139503101,0.8555526522720506,1.2073554992675781
2025,cov,hard_thr,1.0070786,0.8599509359006151,0.8558530406107754,1.3240036964416504
2025,cov,soft_thr,1.0071809,0.860443138298652,0.8548512514606948,1.1282477378845215
2025,prec,standard,1.0053146,0.8673222246167619,0.8557496268410371,1.1823041439056396
2025,prec,hard_thr,1.0077888,0.8561887315088963,0.8639530208884603,1.416642665863037
2025,prec,soft_thr,1.1103295,0.8635143549176123,0.8910074906813477,1.2526922225952148
12345,cov,standard,1.0205845,0.8553013735226985,0.8798559457183472,1.2566654682159424
12345,cov,hard_thr,1.0202354,0.8552828948274921,0.8810154184628394,1.2082197666168213
12345,cov,soft_thr,1.0202563,0.8581567260560222,0.8813242632955434,1.2757880687713623
12345,prec,standard,1.0078334,0.8515932078752314,0.862450359245352,1.2258574962615967
12345,prec,hard_thr,1.0647223,0.8742326941143591,0.8965501451793977,1.6866421699523926
12345,prec,soft_thr,1.0192024,0.8655142466288013,0.8954527919985797,1.2130818367004395
